DT,pres,dwpt,prcp,rhum,wdir,temp,wspd
2022-01-04 01:00:00,1004.8,1.2,1.8,86.0,190.0,3.3,18.4
2022-01-04 02:00:00,1004.9,0.6,0.1,89.0,170.0,2.2,16.6
2022-01-04 03:00:00,1006.2,1.0,0.8,92.0,0.0,2.2,0.0
2022-01-04 04:00:00,1007.2,1.0,0.3,92.0,160.0,2.2,7.6
2022-01-04 05:00:00,1008.3,0.6,0.0,89.0,30.0,2.2,5.4
2022-01-04 06:00:00,1009.2,1.2,0.5,89.0,130.0,2.8,5.4
2022-01-04 07:00:00,1010.6,1.8,0.3,93.0,130.0,2.8,9.4
2022-01-04 08:00:00,1011.7,1.7,0.0,89.0,150.0,3.3,11.2
2022-01-04 09:00:00,1012.9,1.7,0.0,89.0,0.0,3.3,0.0
2022-01-04 10:00:00,1013.7,1.7,0.0,89.0,130.0,3.3,11.2
2022-01-04 11:00:00,1015.1,1.7,0.0,89.0,150.0,3.3,7.6
2022-01-04 12:00:00,1015.1,1.8,0.0,83.0,180.0,4.4,18.4
2022-01-04 13:00:00,1015.9,2.3,0.5,86.0,220.0,4.4,14.8
2022-01-04 14:00:00,1016.7,2.3,0.3,86.0,210.0,4.4,13.0
2022-01-04 15:00:00,1017.1,2.3,0.0,89.0,0.0,3.9,0.0
2022-01-04 16:00:00,1018.0,2.3,0.0,89.0,150.0,3.9,9.4
2022-01-04 17:00:00,1018.1,2.7,0.4,89.0,200.0,4.4,5.4
2022-01-04 18:00:00,1018.4,3.3,0.1,89.0,160.0,5.0,13.0
2022-01-04 19:00:00,1018.4,4.4,0.3,85.0,0.0,6.7,0.0
2022-01-04 20:00:00,1017.8,4.4,0.1,89.0,170.0,6.1,16.6
2022-01-04 21:00:00,1017.5,5.1,0.3,83.0,190.0,7.8,14.8
2022-01-04 22:00:00,1017.1,5.1,0.3,83.0,160.0,7.8,13.0
2022-01-04 23:00:00,1016.9,6.1,0.2,93.0,150.0,7.2,11.2
2022-01-05 00:00:00,1016.2,6.1,1.0,93.0,150.0,7.2,11.2
2022-01-05 01:00:00,1015.5,6.1,1.3,93.0,160.0,7.2,16.6
2022-01-05 02:00:00,1014.9,5.7,0.5,90.0,140.0,7.2,13.0
2022-01-05 03:00:00,1014.5,5.6,0.3,93.0,140.0,6.7,7.6
2022-01-05 04:00:00,1014.3,5.6,0.5,93.0,150.0,6.7,11.2
2022-01-05 05:00:00,1014.2,5.7,0.1,90.0,0.0,7.2,0.0
2022-01-05 06:00:00,1015.3,6.1,0.0,93.0,240.0,7.2,11.2
2022-01-05 07:00:00,1016.2,6.1,0.3,93.0,240.0,7.2,9.4
2022-01-05 08:00:00,1017.3,5.6,0.0,93.0,0.0,6.7,0.0
2022-01-05 09:00:00,1018.9,5.7,0.0,97.0,0.0,6.1,0.0
2022-01-05 10:00:00,1019.9,5.1,0.0,93.0,0.0,6.1,0.0
2022-01-05 11:00:00,1020.3,5.0,0.0,89.0,230.0,6.7,9.4
2022-01-05 12:00:00,1021.5,5.1,0.0,93.0,250.0,6.1,9.4
2022-01-05 13:00:00,1021.6,5.1,0.0,93.0,230.0,6.1,9.4
2022-01-05 14:00:00,1021.9,5.1,0.2,93.0,290.0,6.1,5.4
2022-01-05 15:00:00,1022.4,4.4,0.3,92.0,0.0,5.6,0.0
2022-01-05 16:00:00,1022.5,3.9,0.5,89.0,0.0,5.6,0.0
2022-01-05 17:00:00,1022.7,4.4,0.3,96.0,0.0,5.0,0.0
2022-01-05 18:00:00,1022.8,5.1,0.8,93.0,0.0,6.1,0.0
2022-01-05 19:00:00,1022.6,5.1,1.0,93.0,130.0,6.1,11.2
2022-01-05 20:00:00,1022.1,5.0,1.3,89.0,110.0,6.7,5.4
2022-01-05 21:00:00,1021.7,5.0,1.3,89.0,0.0,6.7,0.0
2022-01-05 22:00:00,1020.2,5.1,1.8,93.0,90.0,6.1,7.6
2022-01-05 23:00:00,1019.6,4.4,2.3,89.0,70.0,6.1,5.4
2022-01-06 00:00:00,1018.8,4.4,1.0,92.0,50.0,5.6,7.6
2022-01-06 01:00:00,1017.8,4.0,0.8,93.0,0.0,5.0,0.0
2022-01-06 02:00:00,1017.0,4.0,1.5,100.0,340.0,4.0,9.0
2022-01-06 03:00:00,1016.6,4.0,1.0,97.0,340.0,4.4,7.6
2022-01-06 04:00:00,1016.6,4.0,1.5,97.0,310.0,4.4,5.4
2022-01-06 05:00:00,1016.4,4.0,1.0,93.0,0.0,5.0,0.0
2022-01-06 06:00:00,1015.5,4.0,0.3,93.0,0.0,5.0,0.0
2022-01-06 07:00:00,1014.4,4.4,0.1,96.0,0.0,5.0,0.0
2022-01-06 08:00:00,1013.0,4.4,0.2,92.0,0.0,5.6,0.0
2022-01-06 09:00:00,1012.5,5.0,0.5,96.0,0.0,5.6,0.0
2022-01-06 10:00:00,1011.2,9.9,0.8,86.0,190.0,12.2,20.5
2022-01-06 11:00:00,1011.3,9.9,0.5,86.0,190.0,12.2,27.7
2022-01-06 12:00:00,1011.2,9.9,0.8,86.0,200.0,12.2,24.1
2022-01-06 13:00:00,1010.8,9.4,0.8,83.0,200.0,12.2,16.6
2022-01-06 14:00:00,1010.7,10.6,1.5,90.0,210.0,12.2,14.8
2022-01-06 15:00:00,1011.0,10.6,3.0,90.0,220.0,12.2,20.5
2022-01-06 16:00:00,1010.8,10.6,0.3,90.0,200.0,12.2,25.9
2022-01-06 17:00:00,1010.6,10.0,0.0,83.0,190.0,12.8,29.5
2022-01-06 18:00:00,1010.8,9.9,0.7,86.0,190.0,12.2,35.3
2022-01-06 19:00:00,1010.6,9.4,0.8,80.0,190.0,12.8,29.5
2022-01-06 20:00:00,1009.6,9.4,0.0,80.0,190.0,12.8,31.7
2022-01-06 21:00:00,1008.4,10.0,0.1,83.0,180.0,12.8,37.1
2022-01-06 22:00:00,1007.7,9.9,0.1,86.0,180.0,12.2,35.3
2022-01-06 23:00:00,1007.4,9.4,0.0,83.0,200.0,12.2,25.9
2022-01-07 00:00:00,1006.7,8.3,0.0,77.0,200.0,12.2,35.3
2022-01-07 01:00:00,1006.4,8.3,0.0,83.0,190.0,11.1,24.1
2022-01-07 02:00:00,1005.6,7.8,0.0,80.0,200.0,11.1,18.4
2022-01-07 03:00:00,1004.1,6.6,0.0,74.0,190.0,11.1,20.5
2022-01-07 04:00:00,1003.0,6.0,0.0,71.0,200.0,11.1,16.6
2022-01-07 05:00:00,1002.1,6.6,0.6,74.0,190.0,11.1,16.6
2022-01-07 06:00:00,1000.4,6.7,1.8,77.0,190.0,10.6,22.3
2022-01-07 07:00:00,999.5,6.7,0.5,77.0,190.0,10.6,25.9
2022-01-07 08:00:00,998.8,8.3,1.3,89.0,190.0,10.0,24.1
2022-01-07 09:00:00,997.4,7.8,1.0,86.0,190.0,10.0,25.9
2022-01-07 10:00:00,996.6,7.8,0.3,86.0,190.0,10.0,22.3
2022-01-07 11:00:00,996.1,7.8,0.0,86.0,170.0,10.0,27.7
2022-01-07 12:00:00,995.1,8.3,1.8,89.0,170.0,10.0,25.9
2022-01-07 13:00:00,993.7,7.8,1.0,83.0,170.0,10.6,31.7
